timestamp,location,price,last4ccnum
06,Brew've Been Served,11.34,4795
06,Hallowed Grounds,52.22,7108
06,Brew've Been Served,8.33,6816
06,Hallowed Grounds,16.72,9617
06,Brew've Been Served,4.24,7384
06,Brew've Been Served,4.17,5368
06,Coffee Cameleon,28.73,7253
06,Brew've Been Served,9.6,4948
06,Brew've Been Served,16.9,9683
06,Hallowed Grounds,16.53,8129
06,Hallowed Grounds,10.66,3492
06,Coffee Cameleon,8.39,5921
06,Brew've Been Served,32.83,9405
06,Hallowed Grounds,16.88,7889
06,Coffee Cameleon,11.86,2142
06,Hallowed Grounds,32.93,2681
06,Hallowed Grounds,8.05,9551
06,Brew've Been Served,3.67,3484
06,Brew've Been Served,8.88,7819
06,Brew've Been Served,4.27,5407
06,Hallowed Grounds,9.69,6691
06,Hallowed Grounds,10.07,1874
06,Brew've Been Served,18.24,3853
06,Brew've Been Served,15.58,4434
06,Brew've Been Served,5.66,6901
06,Coffee Cameleon,3.2,2418
06,Brew've Been Served,14.97,1286
06,Brew've Been Served,11.2,8411
06,Brew've Been Served,15.39,8202
06,Abila Airport,4540.08,9220
06,Kronos Pipe and Irrigation,242.21,9220
06,Nationwide Refinery,761.64,9735
06,Maximum Iron and Steel,2859.51,9220
06,Stewart and Sons Fabrication,2144.62,9735
06,Carlyle Chemical Inc.,3959.66,9220
06,Coffee Shack,51.51,7117
06,Bean There Done That,10.28,1415
06,Bean There Done That,16.09,9635
06,Brewed Awakenings,5.72,7688
06,Jack's Magical Beans,11.03,6899
06,Brewed Awakenings,16.89,2540
06,Bean There Done That,8.54,1877
06,Brewed Awakenings,4.35,8332
06,Bean There Done That,5.24,1321
06,Bean There Done That,4.27,6895
06,Jack's Magical Beans,18.59,9241
06,Jack's Magical Beans,27.84,8156
06,Jack's Magical Beans,18.1,2463
06,Abila Airport,1873.79,8642
06,Katerina’s Café,13.68,8332
06,Hippokampos,9.16,8156
06,Abila Zacharo,106.93,2418
06,Gelatogalore,12.74,7253
06,Kalami Kafenion,70.1,3484
06,Hippokampos,34.03,6691
06,Hippokampos,28.23,9551
06,Ouzeri Elian,38.9,2540
06,Hippokampos,13.26,4795
06,Guy's Gyros,15.44,1415
06,Abila Zacharo,30.08,7688
06,Abila Zacharo,50.14,1286
06,Katerina’s Café,33.54,8411
06,Kalami Kafenion,8.64,5407
06,Guy's Gyros,16.92,7384
06,Hippokampos,36.54,2681
06,Abila Zacharo,92.05,7354
06,Ouzeri Elian,20.56,6816
06,Guy's Gyros,11.22,1310
06,Gelatogalore,22.64,7889
06,Ouzeri Elian,20.4,6895
06,Guy's Gyros,30.82,9635
06,Katerina’s Café,18.56,6899
06,Guy's Gyros,99.67,2463
06,Kalami Kafenion,22.13,1321
06,Ouzeri Elian,20.74,5368
06,Ouzeri Elian,30.87,5921
06,Katerina’s Café,13.59,1874
06,Katerina’s Café,32.64,9617
06,Kalami Kafenion,22.31,4434
06,Gelatogalore,36.33,3492
06,Katerina’s Café,36.95,2142
06,Abila Zacharo,23.15,9405
06,Hippokampos,8.64,1877
06,Hippokampos,38.25,8202
06,Katerina’s Café,39.41,3853
06,Kalami Kafenion,13.08,7117
06,Gelatogalore,23.41,7819
06,Hippokampos,30.88,4948
06,Abila Zacharo,78.11,7108
06,Kalami Kafenion,27.4,8129
06,Katerina’s Café,19.65,6901
06,Abila Airport,777.06,9220
06,Abila Airport,612.47,8642
06,U-Pump,59.51,3484
06,Katerina’s Café,78.65,8411
06,Katerina’s Café,26.46,8129
